DATE;Season;VISITOR;V.PTS;HOME;H.PTS;OT;
10/31/2000;2001;Charlotte Hornets;106;Atlanta Hawks;82;;
10/31/2000;2001;Sacramento Kings;100;Chicago Bulls;81;;
10/31/2000;2001;Milwaukee Bucks;93;Dallas Mavericks;97;;
10/31/2000;2001;Phoenix Suns;94;Golden State Warriors;96;;
10/31/2000;2001;Minnesota Timberwolves;106;Houston Rockets;98;;
10/31/2000;2001;Cleveland Cavaliers;86;New Jersey Nets;82;;
10/31/2000;2001;Philadelphia 76ers;101;New York Knicks;72;;
10/31/2000;2001;Washington Wizards;86;Orlando Magic;97;;
10/31/2000;2001;Los Angeles Lakers;96;Portland Trail Blazers;86;;
10/31/2000;2001;Indiana Pacers;85;San Antonio Spurs;98;;
10/31/2000;2001;Detroit Pistons;104;Toronto Raptors;95;;
10/31/2000;2001;Los Angeles Clippers;94;Utah Jazz;107;;
10/31/2000;2001;Seattle SuperSonics;88;Vancouver Grizzlies;94;;
11/1/2000;2001;Detroit Pistons;83;Boston Celtics;103;;
11/1/2000;2001;Washington Wizards;95;Charlotte Hornets;77;;
11/1/2000;2001;Sacramento Kings;100;Cleveland Cavaliers;102;2OT;
11/1/2000;2001;Utah Jazz;97;Los Angeles Lakers;92;;
11/1/2000;2001;Orlando Magic;79;Miami Heat;105;;
11/1/2000;2001;Toronto Raptors;98;Philadelphia 76ers;104;;
11/1/2000;2001;Denver Nuggets;99;Seattle SuperSonics;112;;
11/2/2000;2001;Indiana Pacers;88;Dallas Mavericks;94;;
11/2/2000;2001;Golden State Warriors;97;Denver Nuggets;101;;
11/2/2000;2001;Milwaukee Bucks;93;Houston Rockets;115;;
11/2/2000;2001;Vancouver Grizzlies;99;Los Angeles Clippers;91;;
11/2/2000;2001;Atlanta Hawks;69;New York Knicks;94;;
11/2/2000;2001;Portland Trail Blazers;82;Phoenix Suns;108;;
11/2/2000;2001;Minnesota Timberwolves;91;San Antonio Spurs;103;;
11/3/2000;2001;Toronto Raptors;91;Boston Celtics;93;;
11/3/2000;2001;Miami Heat;79;Charlotte Hornets;83;;
11/3/2000;2001;New Jersey Nets;92;Chicago Bulls;82;;
11/3/2000;2001;Sacramento Kings;100;Detroit Pistons;93;;
11/3/2000;2001;Philadelphia 76ers;87;Orlando Magic;80;;
11/3/2000;2001;New York Knicks;80;Washington Wizards;76;;
11/4/2000;2001;Orlando Magic;107;Atlanta Hawks;104;;
11/4/2000;2001;Boston Celtics;89;Cleveland Cavaliers;91;;
11/4/2000;2001;Utah Jazz;112;Dallas Mavericks;106;;
11/4/2000;2001;Phoenix Suns;102;Denver Nuggets;99;;
11/4/2000;2001;San Antonio Spurs;117;Golden State Warriors;105;;
11/4/2000;2001;Chicago Bulls;81;Indiana Pacers;94;;
11/4/2000;2001;Houston Rockets;74;Los Angeles Clippers;77;;
11/4/2000;2001;Philadelphia 76ers;84;Miami Heat;82;;
11/4/2000;2001;Detroit Pistons;88;Milwaukee Bucks;97;;
11/4/2000;2001;Sacramento Kings;91;Minnesota Timberwolves;99;;
11/4/2000;2001;Charlotte Hornets;98;New Jersey Nets;87;;
11/4/2000;2001;Portland Trail Blazers;97;Seattle SuperSonics;90;;
11/4/2000;2001;Washington Wizards;96;Toronto Raptors;103;;
11/4/2000;2001;Los Angeles Lakers;98;Vancouver Grizzlies;89;;
11/5/2000;2001;Los Angeles Clippers;103;Los Angeles Lakers;108;;
11/5/2000;2001;Houston Rockets;99;Phoenix Suns;104;;
11/6/2000;2001;Dallas Mavericks;108;Denver Nuggets;96;;
11/6/2000;2001;Seattle SuperSonics;99;Orlando Magic;110;;
11/6/2000;2001;Portland Trail Blazers;75;Sacramento Kings;79;;
11/6/2000;2001;Minnesota Timberwolves;92;Utah Jazz;98;;
11/6/2000;2001;Atlanta Hawks;87;Vancouver Grizzlies;97;;
11/7/2000;2001;Washington Wizards;88;Chicago Bulls;83;;
11/7/2000;2001;Los Angeles Lakers;74;Houston Rockets;84;;
11/7/2000;2001;New York Knicks;103;Milwaukee Bucks;89;;
11/7/2000;2001;San Antonio Spurs;81;Phoenix Suns;100;;
11/7/2000;2001;Atlanta Hawks;88;Portland Trail Blazers;97;;
11/7/2000;2001;Boston Celtics;75;Toronto Raptors;105;;
11/8/2000;2001;Vancouver Grizzlies;101;Dallas Mavericks;74;;
11/8/2000;2001;Minnesota Timberwolves;107;Denver Nuggets;109;OT;
11/8/2000;2001;Milwaukee Bucks;97;Indiana Pacers;108;;
11/8/2000;2001;Utah Jazz;93;Los Angeles Clippers;87;OT;
11/8/2000;2001;Seattle SuperSonics;81;Miami Heat;87;;
11/8/2000;2001;Cleveland Cavaliers;99;New York Knicks;97;;
11/8/2000;2001;Charlotte Hornets;96;Orlando Magic;90;;
11/8/2000;2001;Detroit Pistons;94;Philadelphia 76ers;103;;
11/8/2000;2001;Golden State Warriors;84;Sacramento Kings;115;;
11/8/2000;2001;Los Angeles Lakers;81;San Antonio Spurs;91;;
11/8/2000;2001;New Jersey Nets;102;Washington Wizards;86;;
11/9/2000;2001;Seattle SuperSonics;102;Charlotte Hornets;94;;
11/9/2000;2001;Orlando Magic;90;Chicago Bulls;95;;
11/9/2000;2001;Vancouver Grizzlies;78;Houston Rockets;85;;
11/9/2000;2001;Philadelphia 76ers;84;Minnesota Timberwolves;82;;
11/9/2000;2001;Detroit Pistons;108;New Jersey Nets;94;;
11/9/2000;2001;Atlanta Hawks;79;Phoenix Suns;88;;
11/9/2000;2001;Denver Nuggets;91;Portland Trail Blazers;107;;
11/10/2000;2001;New York Knicks;103;Boston Celtics;101;OT;
11/10/2000;2001;San Antonio Spurs;77;Dallas Mavericks;79;;
11/10/2000;2001;Sacramento Kings;114;Golden State Warriors;107;OT;
11/10/2000;2001;Atlanta Hawks;106;Los Angeles Clippers;115;;
11/10/2000;2001;Cleveland Cavaliers;88;Toronto Raptors;115;;
11/10/2000;2001;Miami Heat;87;Utah Jazz;80;;
11/10/2000;2001;Indiana Pacers;86;Washington Wizards;74;;
11/11/2000;2001;Toronto Raptors;98;Chicago Bulls;75;;
11/11/2000;2001;Washington Wizards;73;Cleveland Cavaliers;86;;
11/11/2000;2001;Detroit Pistons;84;Indiana Pacers;94;;
11/11/2000;2001;Minnesota Timberwolves;103;Milwaukee Bucks;92;;
11/11/2000;2001;Seattle SuperSonics;91;New Jersey Nets;126;;
11/11/2000;2001;Charlotte Hornets;67;New York Knicks;81;;
11/11/2000;2001;Boston Celtics;83;Philadelphia 76ers;85;;
11/11/2000;2001;Miami Heat;82;Phoenix Suns;84;;
11/11/2000;2001;Houston Rockets;88;Portland Trail Blazers;111;;
11/11/2000;2001;Vancouver Grizzlies;78;San Antonio Spurs;91;;
11/12/2000;2001;Los Angeles Clippers;79;Denver Nuggets;95;;
11/12/2000;2001;Seattle SuperSonics;92;Detroit Pistons;101;;
11/12/2000;2001;Orlando Magic;105;Golden State Warriors;99;OT;
11/12/2000;2001;Houston Rockets;99;Los Angeles Lakers;105;;
11/12/2000;2001;Dallas Mavericks;84;Sacramento Kings;109;;
11/13/2000;2001;Dallas Mavericks;90;Los Angeles Clippers;76;;
11/13/2000;2001;Portland Trail Blazers;94;New Jersey Nets;82;;
11/14/2000;2001;Portland Trail Blazers;97;Atlanta Hawks;99;;
11/14/2000;2001;Golden State Warriors;86;Cleveland Cavaliers;96;;
11/14/2000;2001;Chicago Bulls;83;Houston Rockets;110;;
11/14/2000;2001;Denver Nuggets;103;Los Angeles Lakers;119;;
11/14/2000;2001;Charlotte Hornets;86;Miami Heat;89;OT;
11/14/2000;2001;Orlando Magic;82;Sacramento Kings;96;;
11/14/2000;2001;Utah Jazz;79;San Antonio Spurs;86;;
11/14/2000;2001;New York Knicks;75;Seattle SuperSonics;96;;
11/15/2000;2001;Washington Wizards;109;Boston Celtics;116;;
11/15/2000;2001;Indiana Pacers;92;Detroit Pistons;88;;
11/15/2000;2001;New York Knicks;74;Los Angeles Clippers;78;;
11/15/2000;2001;Atlanta Hawks;74;Milwaukee Bucks;84;;
11/15/2000;2001;Golden State Warriors;90;Minnesota Timberwolves;92;;
11/15/2000;2001;Miami Heat;91;New Jersey Nets;93;;
11/15/2000;2001;Cleveland Cavaliers;98;Philadelphia 76ers;107;;
11/15/2000;2001;Dallas Mavericks;78;Phoenix Suns;99;;
11/16/2000;2001;Chicago Bulls;85;Denver Nuggets;89;;
11/16/2000;2001;Charlotte Hornets;80;Houston Rockets;84;;
11/16/2000;2001;Los Angeles Lakers;112;Sacramento Kings;110;OT;
11/16/2000;2001;Portland Trail Blazers;86;Toronto Raptors;80;;
11/16/2000;2001;Orlando Magic;84;Utah Jazz;99;;
11/16/2000;2001;Los Angeles Clippers;76;Vancouver Grizzlies;72;;
11/16/2000;2001;San Antonio Spurs;99;Washington Wizards;95;;
11/17/2000;2001;Atlanta Hawks;99;Boston Celtics;106;;
11/17/2000;2001;Detroit Pistons;96;Charlotte Hornets;89;;
11/17/2000;2001;Golden State Warriors;92;Indiana Pacers;90;;
11/17/2000;2001;Cleveland Cavaliers;76;Milwaukee Bucks;89;;
11/17/2000;2001;San Antonio Spurs;94;Minnesota Timberwolves;99;OT;
11/17/2000;2001;Miami Heat;73;Philadelphia 76ers;94;;
11/17/2000;2001;New York Knicks;90;Phoenix Suns;85;;
11/17/2000;2001;Dallas Mavericks;99;Seattle SuperSonics;95;;
11/18/2000;2001;Minnesota Timberwolves;94;Atlanta Hawks;84;;
11/18/2000;2001;Los Angeles Lakers;86;Denver Nuggets;87;;
11/18/2000;2001;Phoenix Suns;89;Houston Rockets;94;;
11/18/2000;2001;Seattle SuperSonics;86;Los Angeles Clippers;83;;
11/18/2000;2001;Portland Trail Blazers;80;Miami Heat;86;;
11/18/2000;2001;Indiana Pacers;92;New Jersey Nets;97;;
11/18/2000;2001;Milwaukee Bucks;102;Toronto Raptors;111;;
11/18/2000;2001;Chicago Bulls;64;Utah Jazz;109;;
11/18/2000;2001;Dallas Mavericks;91;Vancouver Grizzlies;88;;
11/18/2000;2001;Boston Celtics;89;Washington Wizards;109;;
11/19/2000;2001;Charlotte Hornets;105;Detroit Pistons;96;;
