X,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,PosNum,cluster
1,1,Tariq Abdul-Wahad,SG,25,TOT,61,56,1578,6.3,14.7,0.424,0.1,0.5,0.13,6.2,14.2,0.435,3.3,4.4,0.756,2.3,4.3,6.6,2.2,1.3,0.6,2.4,3.4,15.9,2000,2,1
2,1,Tariq Abdul-Wahad,SG,25,ORL,46,46,1205,6.7,15.4,0.433,0.1,0.6,0.095,6.6,14.8,0.447,3.4,4.5,0.762,2.3,4.8,7.1,2.2,1.6,0.5,2.6,3.5,16.8,2000,2,1
4,2,Shareef Abdur-Rahim,SF,23,VAN,82,82,3223,6.6,14.3,0.465,0.3,1.1,0.302,6.3,13.2,0.478,5,6.2,0.809,2.4,6.8,9.2,3,1,1,2.8,2.7,18.6,2000,3,1
6,4,Ray Allen,SG,24,MIL,82,82,3070,7.5,16.5,0.455,2,4.8,0.423,5.5,11.8,0.468,4.1,4.7,0.887,1,3.2,4.2,3.6,1.3,0.2,2.1,2.2,21.2,2000,2,4
8,6,John Amaechi,C,29,ORL,80,53,1684,6.5,15,0.437,0,0.1,0.167,6.5,14.8,0.439,4.8,6.2,0.766,1.3,4.4,5.7,2,0.7,0.8,3,3.4,17.9,2000,5,1
9,7,Derek Anderson,SG,25,LAC,64,58,2201,6.2,14.1,0.438,0.9,2.9,0.309,5.3,11.2,0.472,4.4,5.1,0.877,1.3,2.9,4.2,3.6,1.5,0.2,2.7,2.4,17.7,2000,2,4
10,8,Kenny Anderson,PG,29,BOS,82,82,2593,6,13.7,0.44,1.2,3.1,0.386,4.8,10.6,0.456,2.7,3.5,0.775,0.8,2.4,3.1,5.8,1.9,0.1,1.8,3.2,16,2000,1,4
11,9,Nick Anderson,SG,32,SAC,72,72,2094,5.3,13.4,0.391,2.3,6.8,0.332,3,6.6,0.452,0.6,1.3,0.487,1.4,4.4,5.8,2.1,1.6,0.3,1.6,2,13.4,2000,2,3
12,10,Shandon Anderson,SF,26,HOU,82,82,2700,4.9,10.4,0.473,1.1,3,0.351,3.9,7.4,0.523,2.6,3.4,0.767,1.2,3.9,5.1,3.2,1.3,0.4,2.6,2.4,13.5,2000,3,4
13,11,Chris Anstey,C,25,CHI,73,11,1007,5.8,13,0.442,0,0.2,0.167,5.7,12.8,0.447,4.1,5.3,0.789,3.2,6.8,10,2.3,1,0.9,2.9,6.4,15.7,2000,5,1
14,12,Greg Anthony,PG,32,POR,82,3,1548,3.9,9.7,0.406,2,5.4,0.378,1.9,4.3,0.443,2,2.7,0.772,0.4,2.7,3.1,4.8,1.4,0.2,2,3.3,12,2000,1,3
15,13,B.J. Armstrong,PG,32,CHI,27,18,583,5.1,11.5,0.446,0.8,1.8,0.448,4.3,9.7,0.446,1.4,1.5,0.88,0.1,2.8,2.9,4.8,0.4,0.1,2.5,2.1,12.4,2000,1,4
16,14,Darrell Armstrong,PG,31,ORL,82,82,2590,6.7,15.6,0.433,1.9,5.6,0.34,4.8,10,0.485,3.1,3.4,0.911,0.9,2.8,3.8,7,2.3,0.1,3.4,1.9,18.5,2000,1,4
17,15,Chucky Atkins,PG,25,ORL,82,0,1626,7,16.4,0.424,1.3,3.6,0.35,5.7,12.8,0.445,2.1,2.9,0.729,0.4,2.3,2.8,6.8,1.2,0.1,3.1,3,17.3,2000,1,4
18,16,Stacey Augmon,SG,31,POR,59,0,692,4.3,9.1,0.474,0,0.1,0,4.3,9,0.48,1.9,2.9,0.673,2.2,3.8,6,2.8,1.4,0.6,2,3.6,10.6,2000,2,3
19,17,Isaac Austin,C,30,WAS,59,23,1173,4.6,10.8,0.429,0,0.1,0.25,4.6,10.7,0.431,2.9,4.2,0.686,2,6.7,8.7,2.3,0.5,1.2,3.3,3.9,12.2,2000,5,1
23,21,Vin Baker,C,28,SEA,79,75,2849,6.5,14.3,0.455,0,0.1,0.25,6.5,14.2,0.457,3.6,5.2,0.682,2.9,4.8,7.6,1.9,0.6,0.8,2.7,3.6,16.6,2000,5,1
24,22,Charles Barkley,PF,36,HOU,20,18,620,6.2,12.9,0.477,0.3,1.5,0.231,5.8,11.4,0.51,4.1,6.4,0.645,4.1,8,12.1,3.7,0.8,0.2,2.6,2.8,16.8,2000,4,1
25,23,Dana Barros,PG,32,BOS,72,0,1139,6.2,13.7,0.451,1.9,4.6,0.41,4.3,9.2,0.471,2.1,2.4,0.868,0.4,2.7,3.1,4.2,1,0.1,2.1,2.5,16.3,2000,1,3
26,24,Brent Barry,SG,28,SEA,80,74,2726,4.3,9.3,0.463,2.2,5.3,0.411,2.2,4.1,0.529,1.7,2.1,0.809,0.7,4.3,4.9,3.8,1.4,0.4,1.9,3,12.5,2000,2,3
30,26,Jon Barry,SG,30,SAC,62,1,1281,4.5,9.7,0.465,1.9,4.3,0.429,2.7,5.4,0.495,3,3.3,0.922,1.1,3.4,4.5,4.2,2.1,0.2,2.4,2.9,13.9,2000,2,4
31,27,Tony Battie,C,23,BOS,82,4,1505,5.2,11,0.477,0,0.2,0.125,5.2,10.8,0.483,2.4,3.6,0.675,3.6,6.2,9.8,1.5,1.1,1.7,1.6,6,12.9,2000,5,2
34,30,Corey Benjamin,SG,21,CHI,48,10,862,6.1,14.6,0.414,1.3,3.7,0.348,4.8,10.9,0.437,2,3.4,0.598,0.9,2.8,3.7,2.3,1.3,0.9,3.1,5.1,15.5,2000,2,4
36,32,Travis Best,PG,27,IND,82,0,1691,5.8,11.9,0.483,0.7,2,0.376,5,10,0.504,3.3,4,0.821,0.3,2.7,3,5.8,1.6,0.1,2.3,4.3,15.6,2000,1,4
37,33,Mike Bibby,PG,21,VAN,82,82,3155,5.2,11.8,0.445,0.9,2.4,0.363,4.4,9.3,0.466,2.2,2.9,0.78,0.8,2.7,3.5,7.6,1.5,0.2,2.8,2,13.6,2000,1,4
39,35,Mookie Blaylock,PG,32,GSW,73,72,2459,4.8,12.3,0.391,1.5,4.4,0.336,3.3,7.8,0.422,1,1.4,0.705,0.8,3.1,4,7.2,2.1,0.3,2.1,1.8,12,2000,1,4
41,37,Muggsy Bogues,PG,35,TOR,80,5,1731,3.3,7.4,0.439,0.4,1.1,0.333,2.9,6.4,0.456,1.6,1.8,0.908,0.5,2.3,2.8,6.2,1.4,0.1,1.2,2.5,8.5,2000,1,3
48,42,Bruce Bowen,SF,28,TOT,69,2,878,3,8,0.371,1.1,2.4,0.466,1.8,5.6,0.331,1,1.8,0.581,1.1,2.8,3.9,1.4,0.9,0.6,0.8,4.8,8,2000,3,3
50,42,Bruce Bowen,SF,28,MIA,27,2,567,2.9,7.7,0.38,1.7,3.6,0.464,1.3,4.1,0.308,1.2,2,0.613,0.8,3,3.8,1.1,0.9,0.6,0.9,5.1,8.7,2000,3,3
51,43,Ryan Bowen,SF,24,DEN,52,0,589,2.8,7.2,0.393,0.1,0.6,0.111,2.8,6.6,0.417,2.3,3.2,0.717,4.6,2.4,7,1.2,2.4,0.8,0.9,5.8,8,2000,3,2
56,46,Shawn Bradley,C,27,DAL,77,54,1901,5,10.5,0.479,0,0.1,0.2,5,10.4,0.482,2.2,2.8,0.765,3,6.4,9.4,1.1,1.3,3.6,1.4,4.9,12.3,2000,5,2
58,48,Elton Brand,PF,20,CHI,81,80,2999,7.6,15.7,0.482,0,0,0,7.6,15.7,0.483,4.4,6.4,0.685,4.2,5.5,9.7,1.9,0.8,1.6,2.7,3.1,19.5,2000,4,1
59,49,Terrell Brandon,PG,29,MIN,71,71,2587,6.8,14.5,0.466,0.7,1.8,0.402,6,12.7,0.476,2.6,2.9,0.899,0.6,2.7,3.3,8.8,1.9,0.4,2.6,2.2,16.9,2000,1,4
60,50,Chucky Brown,PF,31,TOT,63,29,1096,4.9,10.8,0.451,0.1,0.3,0.2,4.8,10.4,0.459,1.2,1.7,0.692,1.1,4.3,5.5,2.2,0.7,0.6,1.5,3.7,11,2000,4,3
61,50,Chucky Brown,PF,31,SAS,30,27,602,4.9,10.5,0.466,0.1,0.2,0.333,4.8,10.3,0.468,1.5,1.9,0.806,0.7,3.9,4.6,2.5,0.5,0.6,1.7,3.2,11.4,2000,4,3
63,51,Dee Brown,PG,31,TOR,38,12,673,5,13.8,0.36,3.6,10,0.358,1.4,3.8,0.366,0.6,0.9,0.688,0.5,2.4,2.9,4.6,1.3,0.3,2.1,3.3,14.1,2000,1,3
65,53,P.J. Brown,PF,30,MIA,80,80,2302,5,10.5,0.48,0,0,0,5,10.5,0.481,1.9,2.5,0.755,3.4,6,9.4,2.3,1,1,1.6,4.1,11.9,2000,4,2
66,54,Randy Brown,PG,31,CHI,59,55,1625,3.5,9.6,0.361,0.1,0.1,0.5,3.4,9.5,0.359,1.4,1.9,0.738,0.5,2.7,3.2,4.5,1.4,0.3,2.3,2.7,8.4,2000,1,4
68,56,Kobe Bryant,SG,21,LAL,66,62,2524,7.9,16.9,0.468,0.7,2.1,0.319,7.2,14.8,0.489,4.7,5.7,0.821,1.5,4.4,5.9,4.6,1.5,0.9,2.6,3.1,21.2,2000,2,1
69,57,Mark Bryant,PF,34,CLE,75,50,1712,3.7,7.3,0.503,0,0,NA,3.7,7.3,0.503,1.6,2,0.809,2.6,4.8,7.4,1.3,0.7,0.7,1.8,5.3,8.9,2000,4,2
70,58,Greg Buckner,SG,23,DAL,48,1,923,4.3,9.1,0.476,0.4,1,0.385,3.9,8.1,0.488,1.7,2.5,0.683,2.2,4.6,6.8,2.1,1.5,0.8,1.4,5.8,10.7,2000,2,2
71,59,Jud Buechler,SF,31,DET,58,5,657,3,8.5,0.353,1,4.5,0.217,2,4,0.507,0.1,0.4,0.286,1.6,3.3,5,1.8,1.4,0.9,0.7,2.7,7.1,2000,3,3
73,61,Matt Bullard,PF,32,HOU,56,27,1024,4.9,12,0.409,2.8,6.2,0.446,2.1,5.7,0.368,0.9,1.1,0.833,0.5,4.4,4.9,2.2,0.7,0.5,1.3,3,13.4,2000,4,3
74,62,Scott Burrell,SF,29,NJN,74,9,1336,4.4,11.3,0.394,2.2,6.3,0.353,2.2,5,0.444,1.1,1.3,0.78,1.8,5.1,6.9,1.9,1.8,1.2,1,4.7,12.2,2000,3,3
75,63,Jason Caffey,PF,26,GSW,71,56,2159,5.4,11.3,0.479,0,0,0,5.4,11.2,0.48,3.4,5.8,0.597,3.2,4.9,8,2,1,0.3,2.8,4.5,14.2,2000,4,1
77,65,Marcus Camby,C,25,NYK,59,11,1548,5.3,11,0.48,0,0,0.5,5.2,10.9,0.48,3.4,5.1,0.67,4,6.7,10.7,1.1,1,2.7,1.7,4.7,14,2000,5,2
78,66,Elden Campbell,C,31,CHH,78,77,2538,5.2,11.8,0.446,0,0.1,0,5.2,11.7,0.45,3.5,5.1,0.69,2.4,6,8.4,1.8,0.8,2.1,1.8,3.8,14,2000,5,1
80,68,Chris Carr,SF-SG,25,TOT,57,2,1166,6.1,15.3,0.395,1,3.1,0.317,5.1,12.2,0.415,3.3,3.9,0.856,1.3,4.1,5.3,2.6,0.9,0.5,3.6,3.5,16.4,2000,2.75,4
82,68,Chris Carr,SF,25,CHI,50,2,1092,6.1,15.3,0.4,1,3.1,0.333,5.1,12.2,0.416,3,3.5,0.858,1.2,4.1,5.3,2.7,1,0.5,3.7,3.3,16.2,2000,3,4
83,69,Anthony Carter,PG,24,MIA,79,30,1859,3.9,9.9,0.395,0.1,0.4,0.13,3.8,9.4,0.407,1.8,2.4,0.75,0.9,2.9,3.9,7.3,1.8,0.1,3.4,3.2,9.6,2000,1,4
84,70,Vince Carter,SF,23,TOR,82,82,3126,9.1,19.5,0.465,1.1,2.7,0.403,8,16.8,0.475,5,6.3,0.791,1.7,3.8,5.5,3.7,1.3,1.1,2,3,24.3,2000,3,1
85,71,Sam Cassell,PG,30,MIL,81,81,2899,6.8,14.5,0.466,0.3,1.1,0.289,6.4,13.4,0.481,4.8,5.5,0.876,0.9,2.9,3.7,9.1,1.3,0.1,3.3,3.2,18.7,2000,1,4
86,72,Kelvin Cato,C,25,HOU,65,32,1581,4.9,9.2,0.537,0,0.1,0,4.9,9.1,0.543,3.1,4.7,0.649,2.3,6.5,8.9,0.6,0.8,2.8,1.6,4,12.9,2000,5,2
88,74,Cedric Ceballos,SF,30,DAL,69,25,2064,7.8,17.5,0.446,0.8,2.3,0.328,7,15.1,0.464,3.6,4.3,0.843,3,5.1,8.1,1.6,1,0.4,2.2,2.9,20,2000,3,1
90,76,Rex Chapman,SG,32,PHO,53,19,957,4.7,12,0.388,1.5,4.6,0.333,3.1,7.4,0.421,2.2,2.9,0.756,0.4,2.6,3,2.3,0.8,0,1.4,2.6,13.1,2000,2,3
91,77,Calbert Cheaney,SG,28,BOS,67,19,1309,3.3,7.5,0.44,0.5,1.5,0.333,2.8,6,0.466,0.2,0.6,0.429,0.6,3.2,3.8,2.2,1.2,0.4,1.3,4.3,7.3,2000,2,3
92,78,Pete Chilcutt,PF,31,TOT,56,2,601,3.2,7.6,0.417,0.4,1.6,0.231,2.8,6,0.465,0.5,0.5,1,2.8,5.1,7.8,1.6,0.9,0.6,1.2,4.4,7.2,2000,4,2
96,79,Chris Childs,PG,32,NYK,71,2,1675,3.1,7.7,0.409,0.8,2.2,0.356,2.3,5.4,0.431,1,1.3,0.797,0.4,2.8,3.2,6.1,0.8,0.1,2.3,5.2,8.1,2000,1,3
97,80,Doug Christie,SG,29,TOR,73,73,2264,4.9,12.1,0.407,1.6,4.4,0.36,3.4,7.8,0.434,2.9,3.4,0.843,1,3.5,4.5,5.1,1.6,0.7,2.3,2.7,14.4,2000,2,4
98,81,Keon Clark,C,24,DEN,81,20,1850,5.6,10.3,0.542,0,0.2,0.125,5.5,10.1,0.548,2.4,3.4,0.688,3.2,6.7,9.8,1.4,0.9,2.2,2.4,4.5,13.5,2000,5,2
99,82,Keith Closs,C,23,LAC,57,6,820,4.2,8.6,0.487,0,0.1,0,4.2,8.5,0.495,2,3.4,0.59,2.9,5,7.9,1.1,0.6,3.2,1.5,3.5,10.4,2000,5,2
100,83,Derrick Coleman,PF,32,CHH,74,64,2347,6.8,15,0.456,0.8,2.2,0.362,6.1,12.9,0.471,4.5,5.8,0.785,1.9,7.8,9.7,2.7,0.5,2,2.7,3,19,2000,4,1
101,84,Bimbo Coles,PG,31,ATL,80,54,1924,5.2,11.4,0.455,0.1,0.7,0.205,5,10.6,0.472,1.6,1.9,0.817,0.6,2.7,3.2,5.4,1.1,0.2,1.9,3.3,12.1,2000,1,4
103,86,Tyrone Corbin,SF,37,SAC,54,5,941,3.4,9.4,0.356,0.4,1.7,0.227,3,7.8,0.384,1.3,1.5,0.846,1.5,4.8,6.3,2.3,1.4,0.2,1.1,3.8,8.4,2000,3,3
104,87,Chris Crawford,PF,24,ATL,55,11,668,4.9,12.3,0.397,0.4,1.5,0.259,4.5,10.9,0.416,3.4,4.4,0.778,2.7,2.6,5.3,1.8,0.9,0.9,2,4.5,13.6,2000,4,1
105,88,Austin Croshere,PF,24,IND,81,14,1885,5.5,12.5,0.441,1.2,3.3,0.362,4.3,9.1,0.47,3.7,4.4,0.848,2.6,7.3,9.9,1.7,0.8,1.1,2.3,3.9,15.9,2000,4,1
106,89,John Crotty,PG,30,DET,69,0,937,4.1,9.6,0.422,1.3,3.1,0.413,2.8,6.6,0.427,3.1,3.6,0.86,0.7,2.2,2.9,4.9,1,0.2,2.1,4,12.5,2000,1,4
108,91,Vonteego Cummings,PG,23,GSW,75,11,1793,5.3,13.2,0.405,1,3,0.325,4.3,10.1,0.429,2.5,3.4,0.751,1.1,2.5,3.7,5,1.8,0.3,2.7,3.5,14.2,2000,1,4
112,93,Dell Curry,SG,35,TOR,67,9,1095,6.4,14.9,0.427,3.1,8,0.393,3.3,7,0.467,0.8,1.1,0.75,0.4,2.9,3.3,2.9,1.1,0.3,1.3,2.2,16.7,2000,2,3
113,94,Michael Curry,SG,31,DET,82,3,1611,4.1,8.5,0.48,0,0.1,0.2,4,8.4,0.484,3.2,3.8,0.839,0.5,1.9,2.3,1.9,0.7,0.1,1.6,4.7,11.3,2000,2,3
115,96,Antonio Daniels,SG,24,SAS,68,1,1195,4.9,10.4,0.474,0.7,2,0.333,4.2,8.4,0.507,2.2,3,0.713,0.5,2.1,2.6,5.3,1.7,0.2,1.7,2.2,12.7,2000,2,4
119,98,Antonio Davis,C,31,TOR,79,78,2479,4.5,10.3,0.44,0,0,NA,4.5,10.3,0.44,4.1,5.4,0.765,3.4,6.7,10.1,1.5,0.6,1.5,1.8,3.9,13.2,2000,5,2
120,99,Baron Davis,PG,20,CHH,82,0,1523,4.3,10.2,0.42,0.6,2.6,0.225,3.7,7.6,0.488,2.3,3.6,0.634,1.1,2.8,3.9,7.3,2.3,0.4,3.3,4.8,11.5,2000,1,4
122,101,Dale Davis,C,30,IND,74,72,2127,5.1,10.2,0.502,0,0,NA,5.1,10.2,0.502,2.4,3.4,0.685,4.3,8,12.3,1.1,0.9,1.6,1.5,3.4,12.6,2000,5,2
123,102,Emanual Davis,PG,31,SEA,54,2,701,4.1,11.3,0.364,1.6,5.3,0.301,2.5,6,0.419,1.3,2,0.684,0.8,4.4,5.1,3.6,2,0.3,2.3,3.7,11.1,2000,1,3
124,103,Hubert Davis,PG,29,DAL,79,15,1817,4.3,9.2,0.468,1.6,3.3,0.491,2.7,5.9,0.455,1.3,1.5,0.87,0.3,2.3,2.7,2.8,0.5,0.1,1.4,2.2,11.6,2000,1,3
126,105,Ricky Davis,SG,20,CHH,48,4,570,5.9,11.8,0.503,0,0.3,0,5.9,11.6,0.514,2.5,3.2,0.765,1.8,3.4,5.2,3.9,1.9,0.5,2.9,2.5,14.3,2000,2,4
127,106,Todd Day,SG,30,PHO,58,1,941,5,12.6,0.394,2.4,6.3,0.388,2.5,6.3,0.4,2.8,4.1,0.667,1.2,3.7,4.9,2.5,1.7,0.8,1.9,4.9,15.1,2000,2,3
128,107,Andrew DeClercq,C,26,CLE,82,31,1831,4.4,8.7,0.508,0,0,NA,4.4,8.7,0.508,1.8,3.1,0.588,3.1,5.6,8.6,1.1,1.2,1.3,2.1,5.4,10.7,2000,5,2
129,108,Vinny Del Negro,PG,33,MIL,67,0,1211,4.5,9.7,0.471,0.2,0.7,0.333,4.3,8.9,0.482,1,1.2,0.897,0.3,2.9,3.2,4.8,1.1,0,1.4,2.4,10.4,2000,1,3
130,109,Tony Delk,PG,26,SAC,46,1,682,6.3,14.7,0.43,0.5,2.1,0.225,5.9,12.6,0.464,2.5,3.1,0.797,1.9,2.7,4.6,2.9,1.8,0.3,1.7,3.1,15.6,2000,1,4
132,111,Michael Dickerson,SG,24,VAN,82,82,3103,6.4,14.7,0.436,1.4,3.4,0.409,5,11.4,0.444,3.1,3.8,0.83,0.9,2.3,3.2,2.4,1.3,0.5,1.9,2.6,17.4,2000,2,3
133,112,Vlade Divac,C,31,SAC,82,81,2374,5.8,11.6,0.503,0.1,0.4,0.269,5.7,11.2,0.511,3.5,5,0.691,2.6,7.3,9.9,3.7,1.6,1.6,2.9,3.8,15.2,2000,5,1
134,113,Michael Doleac,C,22,ORL,81,29,1335,6.5,14.4,0.452,0,0.1,0.5,6.5,14.4,0.452,2.2,2.6,0.842,2.4,6.6,9,1.7,0.8,0.9,1.8,6,15.2,2000,5,2
136,115,Bryce Drew,PG,25,HOU,72,5,1293,4.4,11.5,0.383,1.6,4.5,0.362,2.8,7,0.396,1.3,1.5,0.849,0.6,2.2,2.9,4.5,1.1,0,1.8,2.2,11.7,2000,1,3
138,117,Tim Duncan,PF,23,SAS,74,74,2875,7.9,16,0.49,0,0.1,0.091,7.9,15.9,0.494,5.7,7.6,0.761,3.3,8.2,11.5,2.9,0.8,2.1,3,2.6,21.5,2000,4,1
139,118,Howard Eisley,PG,27,UTA,82,5,2096,4.8,11.6,0.418,1,2.8,0.368,3.8,8.8,0.434,1.4,1.8,0.824,0.4,2.5,2.9,6,1,0.2,2.3,3.8,12.2,2000,1,4
